sample,input_snr,output_snr,input_sisdr,output_sisdr,inference_time_ms,snr_improvement,sisdr_improvement,input_pesq,output_pesq,pesq_improvement,input_stoi,output_stoi,stoi_improvement
sample_0000,4.0262,13.7620,3.9586,13.6140,156.0006,9.7359,9.6555,1.6306,2.3528,0.7223,0.9509,0.9715,0.0206
sample_0001,3.9793,9.7933,3.9925,9.3531,155.0090,5.8140,5.3607,1.4111,2.2045,0.7934,0.9356,0.9395,0.0039
sample_0002,2.2924,11.2312,2.2781,11.1086,150.9662,8.9388,8.8305,1.1186,1.5245,0.4060,0.8112,0.8570,0.0458
sample_0003,-5.0000,8.0698,-4.9482,7.3713,150.0041,13.0698,12.3195,1.0315,1.2008,0.1693,0.7463,0.8044,0.0581
sample_0004,12.6862,22.0047,12.6867,21.9877,151.0050,9.3185,9.3010,1.9483,3.1632,1.2149,0.9450,0.9562,0.0112
sample_0005,11.6973,21.4063,11.7007,21.8621,151.0539,9.7090,10.1614,2.1724,3.3564,1.1839,0.8750,0.8874,0.0124
sample_0006,11.2032,19.7774,11.2190,19.9413,151.0203,8.5742,8.7223,1.4054,2.1483,0.7429,0.9578,0.9654,0.0076
sample_0007,13.9254,24.3269,13.9214,24.3177,153.9953,10.4015,10.3963,2.4872,2.7773,0.2902,0.9961,0.9965,0.0004
sample_0008,9.1512,18.2369,9.1588,18.3052,157.0141,9.0857,9.1464,1.4492,1.9528,0.5036,0.8518,0.8704,0.0186
sample_0009,3.1511,7.1648,3.0767,6.3757,158.0451,4.0137,3.2989,1.1390,1.4629,0.3240,0.8837,0.9091,0.0254
sample_0010,16.5858,21.0966,16.5804,21.2166,163.9955,4.5108,4.6362,2.5660,2.9103,0.3444,0.9957,0.9957,0.0000
sample_0011,5.8810,11.6569,5.8847,11.3800,152.0054,5.7759,5.4953,1.4270,1.9763,0.5493,0.8832,0.9154,0.0322
sample_0012,14.4554,23.3111,14.4496,23.3502,154.0067,8.8556,8.9006,2.2396,3.3963,1.1567,0.9870,0.9918,0.0048
sample_0013,5.3365,16.9791,5.3166,16.9202,154.4602,11.6426,11.6035,1.7457,2.9551,1.2095,0.9427,0.9518,0.0091
sample_0014,5.1631,10.7404,5.1544,10.3902,153.0125,5.5772,5.2358,1.5085,2.0863,0.5779,0.8951,0.9268,0.0317
sample_0015,6.5857,15.3954,6.6041,15.5975,154.6125,8.8097,8.9934,1.2392,1.5616,0.3224,0.9407,0.9598,0.0191
sample_0016,2.3196,4.6347,2.2371,2.8123,165.0102,2.3151,0.5751,1.0934,1.2980,0.2046,0.7877,0.8424,0.0547
sample_0017,16.9396,22.8550,16.9358,22.9143,182.0188,5.9154,5.9785,2.1638,2.9370,0.7731,0.9795,0.9839,0.0044
sample_0018,0.7510,6.8848,0.7600,6.3189,163.0051,6.1337,5.5590,1.0490,1.2078,0.1588,0.7419,0.8030,0.0610
sample_0019,20.0000,23.9429,20.0015,23.9602,175.0286,3.9429,3.9587,2.9298,3.3204,0.3907,0.9751,0.9820,0.0068
sample_0020,4.5532,12.0827,4.5125,11.8077,243.9978,7.5295,7.2951,1.4295,1.7568,0.3273,0.9184,0.9338,0.0154
sample_0021,-1.8212,8.1952,-1.7831,7.6056,274.7664,10.0164,9.3887,1.0861,1.4717,0.3856,0.8392,0.8748,0.0356
sample_0022,20.0000,21.0491,19.9925,21.6361,181.0012,1.0491,1.6436,2.3751,3.0562,0.6811,0.9942,0.9942,0.0001
sample_0023,5.8130,6.7976,5.7865,5.7957,173.0115,0.9847,0.0093,1.1777,1.5323,0.3546,0.8644,0.8919,0.0275
sample_0024,4.4377,13.7168,4.4595,14.0344,162.3330,9.2791,9.5749,1.2255,1.9237,0.6982,0.9087,0.9443,0.0356
sample_0025,-5.0000,9.1063,-4.9698,8.5410,156.4820,14.1063,13.5108,1.1726,1.9814,0.8089,0.8718,0.9124,0.0406
sample_0026,6.2723,10.7477,6.3005,10.4362,152.9999,4.4755,4.1356,1.3345,1.7985,0.4640,0.8721,0.9183,0.0462
sample_0027,19.6114,20.4139,19.6092,20.5781,163.9960,0.8025,0.9689,2.9011,3.3588,0.4578,0.9981,0.9970,-0.0011
sample_0028,-5.0000,7.2163,-5.1426,6.3021,153.9927,12.2163,11.4447,1.0509,1.2048,0.1539,0.8384,0.8883,0.0499
sample_0029,13.9083,23.9379,13.9182,24.3414,156.0345,10.0296,10.4232,2.7467,3.3710,0.6242,0.9558,0.9723,0.0165
sample_0030,1.7012,11.7414,1.6620,11.5100,153.1644,10.0403,9.8480,1.0865,1.5779,0.4914,0.8133,0.8485,0.0352
sample_0031,-2.4737,9.2073,-2.4790,9.8608,153.0385,11.6810,12.3398,1.0753,1.3621,0.2869,0.8744,0.9145,0.0401
sample_0032,20.0000,16.1833,19.9918,16.3150,160.0177,-3.8167,-3.6768,1.9441,2.1484,0.2043,0.9330,0.9398,0.0068
sample_0033,-4.6716,3.6084,-4.5101,1.2417,153.9946,8.2800,5.7518,1.0349,1.1712,0.1363,0.7165,0.7777,0.0613
sample_0034,0.0880,10.2167,0.1035,9.8080,157.0375,10.1287,9.7045,1.3474,2.1734,0.8260,0.8942,0.9244,0.0302
sample_0035,12.8924,20.1462,12.9063,20.1390,158.0155,7.2539,7.2328,1.7030,1.9334,0.2304,0.9826,0.9847,0.0022
sample_0036,4.4104,9.9796,4.3783,9.5253,151.9692,5.5692,5.1471,1.1540,1.3842,0.2302,0.9290,0.9368,0.0077
sample_0037,17.0715,24.9575,17.0836,25.2853,154.0351,7.8860,8.2017,2.3637,3.4121,1.0484,0.9731,0.9803,0.0072
sample_0038,20.0000,26.8818,20.0040,26.9157,152.9973,6.8818,6.9117,2.0757,2.8703,0.7946,0.9962,0.9978,0.0016
sample_0039,-1.2203,8.3064,-1.1220,7.6273,152.0059,9.5267,8.7493,1.0581,1.3670,0.3090,0.6941,0.7474,0.0533
sample_0040,14.5354,23.7353,14.5433,23.7647,163.0135,9.1998,9.2214,2.3172,3.3865,1.0693,0.9968,0.9965,-0.0003
sample_0041,19.9999,25.7560,20.0054,25.8554,185.0147,5.7561,5.8500,3.5910,3.8161,0.2251,0.9959,0.9974,0.0015
sample_0042,13.5004,15.5317,13.4902,15.4702,163.9922,2.0314,1.9800,1.9134,2.6771,0.7638,0.9738,0.9733,-0.0004
sample_0043,1.3388,5.2485,1.3013,3.7445,151.0015,3.9097,2.4432,1.0605,1.2217,0.1612,0.7020,0.7768,0.0749
sample_0044,-2.1526,6.1019,-2.1995,4.9015,156.0094,8.2545,7.1010,1.0380,1.1258,0.0878,0.7960,0.8595,0.0635
sample_0045,3.9372,8.1207,3.9138,7.5371,152.0016,4.1835,3.6233,1.1181,1.3635,0.2455,0.7883,0.8409,0.0526
sample_0046,-1.2521,17.0208,-1.2368,17.0850,169.6470,18.2730,18.3218,1.3638,1.9802,0.6164,0.9286,0.9378,0.0093
sample_0047,1.9420,11.1614,1.9498,10.8237,151.0108,9.2194,8.8739,1.1666,1.6906,0.5239,0.8454,0.8909,0.0455
sample_0048,16.4385,25.3990,16.4357,25.4266,155.9892,8.9605,8.9909,3.1086,3.5938,0.4853,0.9937,0.9940,0.0003
sample_0049,13.5222,24.4141,13.5099,24.4955,179.0135,10.8918,10.9857,1.9514,3.3003,1.3489,0.9927,0.9937,0.0010
